,Disease,Year of Publication,Medication,Details,PMID,PubMed Link
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2015-2022,"Asparaginase, Antineoplastic Agents",,,
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2015,Antineoplastic Agents,"Patients with pediatric ALL experience unhealthy weight gain early in treatment, and increases in weight are maintained beyond treatment completion. Preventing early onset of obesity is a priority for improving the care and outcomes for patients with pediatric ALL.",25808413,https://pubmed.ncbi.nlm.nih.gov/25808413/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2016,Antineoplastic Agents,"The effects of physical exercise training interventions for childhood cancer participants are not yet convincing. Possible reasons are the small numbers of participants and insufficient study designs, but it can also be that this type of intervention is not as effective as in adult cancer patients. However, the first results show some positive effects on physical fitness in the intervention group compared to the control group. There were positive intervention effects for body composition, flexibility, cardiorespiratory fitness, muscle strength, and health-related quality of life (cancer-related items). These were measured by some assessment methods, but not all. However, the quality of the evidence was low and these positive effects were not found for the other assessed outcomes, such as fatigue, level of daily activity, and adverse events. There is a need for more studies with comparable aims and interventions, using a higher number of participants that also include diagnoses other than ALL.",27030386,https://pubmed.ncbi.nlm.nih.gov/27030386/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antineoplastic Agents, Benzylisoquinolines, Glucocorticoids, NF-kappa B, tetrandrine, cepharanthine, TOR Serine-Threonine Kinases, Mitogen-Activated Protein Kinases","Inappropriately activated T cells mediate autoimmune diseases and T cell acute lymphoblastic leukemia (T-ALL). Glucocorticoid and chemotherapeutic agents have largely extended lives of these patients. However, serious side effects and drug resistance often limit the prognosis of considerable number of the patients. The efficient treatment of autoimmune diseases or T-ALL with drug resistance remains an important unmet demand clinically. Bisbenzylisoquinoline alkaloids tetrandrine and cepharanthine have been applied for the treatment of certain types of autoimmune diseases and cancers, while studies on their action mechanisms and their further applications combined with glucocorticoids or chemotherapeutic agents remains to be expanded. This review introduced molecular mechanisms of tetrandrine and cepharanthine in T cells, including their therapeutic implications. Both tetrandrine and cepharnthine influence the growth of activated T cells via several kinds of signaling pathways, such as NF-κB, caspase cascades, cell cycle, MAPK, and PI3K/Akt/mTOR. According to recent preclinical and clinical studies, P-glycoprotein inhibitory effect of tetrandrine and cepharnthine could play a significant role on T cell-involved refractory diseases. Therefore, tetrandrine or cepharanthine combined with glucocorticoid or other anti-leukemia drugs would bring a new hope for patients with glucocorticoid-resistant autoimmune disease or refractory T-ALL accompanied with functional P-glycoprotein. In conclusion, bisbenzylisoquinoline alkaloids tetrandrine and cepharanthine can regulate several signaling pathways in abnormally activated T cells with low toxicity. Bisbenzylisoquinoline alkaloids deserve to be paid more attention as a lead compound to develop new drugs for the treatment of T cell-involved diseases in the future.",32800789,https://pubmed.ncbi.nlm.nih.gov/32800789/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Autoantigens, ASRGL1 protein, human, Asparaginase","L‑asparaginase enzymes have been a vital component of acute lymphoblastic leukemia therapy for >40 years. L‑asparaginase acts by depleting plasma L‑asparagine, which is essential to the survival of leukemia cells. In contrast to normal cells, tumor cells cannot synthesize L‑asparagine and thus depend on its external uptake for growth. Currently, three bacterial L‑asparaginases are used in therapy; however, they are associated with severe side‑effects related to high toxicity and immunogenicity. The introduction of human L‑asparaginase‑like protein 1 in acute lymphoblastic leukemia treatment would avoid the problems caused by the bacterial enzymes; however, a major difficulty in the therapeutic use of the human enzyme comes from the fact that human L‑asparaginase must be activated through an autoprocessing step, which is a low‑efficiency process in vitro that results in reduced enzymatic activity. The present review article aimed to contribute to the understanding of the enzyme self‑activation process and focuses on the efforts made for the development of a therapeutic variant of human L‑asparaginase.",33649831,https://pubmed.ncbi.nlm.nih.gov/33649831/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antibodies, Bispecific, Antineoplastic Agents, blinatumomab","Blinatumomab is a BiTE<sup>®</sup> immuno-oncology therapy indicated for the treatment of patients with relapsed or refractory (r/r) B-cell precursor (BCP) acute lymphoblastic leukemia (ALL). Aims To assess the efficacy and safety of blinatumomab as first salvage versus second or later salvage in patients with r/r BCP ALL. Materials & Methods Patient-level pooled data were used for this analysis. In total, 532 adults with r/r BCP ALL treated with blinatumomab were included (first salvage, n = 165; second or later salvage, n = 367). Results Compared with patients who received blinatumomab as second or later salvage, those who received blinatumomab as first salvage had a longer median overall survival (OS; 10.4 vs. 5.7 months; HR, 1.58; 95% CI, 1.26-1.97; P < .001) and relapse-free survival (10.1 vs. 7.3 months; HR, 1.38; 95% CI, 0.98-1.93; P = .061), and higher rates of remission (n = 89 [54%] vs. n = 150 [41%]; odds ratio, 0.59; 95% CI, 0.41-0.85; P = .005), minimal residual disease response (n = 68 [41%] vs. n = 118 [32%]), and allogeneic hematopoietic stem cell transplant (alloHSCT) realization (n = 60 [36%] vs. n = 88 [24%]), and alloHSCT in continuous remission (n = 33 [20%] vs. n = 52 (14%]). In a subgroup analysis, there was no apparent effect of prior alloHSCT on median OS in either salvage group. The safety profile of blinatumomab was generally similar between the groups; however, cytokine release syndrome, febrile neutropenia, and infection were more frequent with second or later salvage than with first salvage. Discussion In this pooled analysis, the logistic regression analyses indicated greater benefit with blinatumomab as first salvage than as second or later salvage, as evident by the longer median OS, longer median RFS, and higher rates of remission. Conclusion Overall, blinatumomab was beneficial as first salvage and as second or later salvage, but the effects were favorable as first salvage.",33734596,https://pubmed.ncbi.nlm.nih.gov/33734596/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antibodies, Monoclonal, Antineoplastic Agents, Bridged Bicyclo Compounds, Heterocyclic, Nitriles, Pyrazoles, Pyrimidines, Sulfonamides, daratumumab, Bortezomib, ruxolitinib, venetoclax","Childhood acute lymphoblastic leukemia is a genetically heterogeneous cancer that accounts for 10-15% of T-cell acute lymphoblastic leukemia (T-ALL) cases. The T-ALL event-free survival rate (EFS) is 85%. The evaluation of structural and numerical chromosomal changes is important for a comprehensive biological characterization of T-ALL, but there are currently no genetic prognostic markers. Despite chemotherapy regimens, steroids, and allogeneic transplantation, relapse is the main problem in children with T-ALL. Due to the development of high-throughput molecular methods, the ability to define subgroups of T-ALL has significantly improved in the last few years. The profiling of the gene expression of T-ALL has led to the identification of T-ALL subgroups, and it is important in determining prognostic factors and choosing an appropriate treatment. Novel therapies targeting molecular aberrations offer promise in achieving better first remission with the hope of preventing relapse. The employment of precisely targeted therapeutic approaches is expected to improve the cure of the disease and quality of life of patients. These include therapies that inhibit Notch1 activation (bortezomib), JAK inhibitors in ETP-ALL (ruxolitinib), BCL inhibitors (venetoclax), and anti-CD38 therapy (daratumumab). Chimeric antigen receptor T-cell therapy (CAR-T) is under investigation, but it requires further development and trials. Nelarabine-based regimens remain the standard for treating the relapse of T-ALL.",33925883,https://pubmed.ncbi.nlm.nih.gov/33925883/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antineoplastic Agents, Asparaginase, Glutaminase","L-asparaginase is an enzyme that catalyzes the degradation of asparagine and successfully used in the treatment of acute lymphoblastic leukemia. L-asparaginase toxicity is either related to hypersensitivity to the foreign protein or to a secondary L-glutaminase activity that causes inhibition of protein synthesis. PEGylated versions have been incorporated into the treatment protocols to reduce immunogenicity and an alternative L-asparaginase derived from Dickeya chrysanthemi is used in patients with anaphylactic reactions to the E. coli L-asparaginase. Alternative approaches commonly explore new sources of the enzyme as well as the use of protein engineering techniques to create less immunogenic, more stable variants with lower L-glutaminase activity. This article reviews the main strategies used to overcome L-asparaginase shortcomings and introduces recent tools that can be used to create therapeutic enzymes with improved features.",33932739,https://pubmed.ncbi.nlm.nih.gov/33932739/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antineoplastic Agents, Arabinonucleosides, nelarabine","Nelarabine is approved for the treatment of adults with R/R T-ALL/T-LBL in the setting of third or more line of therapy. Hematological and neurological toxicities are the most frequent adverse events. Grade 3 and 4 neutropenia and thrombocytopenia are common, however with treatment-related deaths accounting only for 1-2% of patients. Neurological toxicity is typically characterized by a reversible peripheral neuropathy, usually mild or moderate and without treatment delay. Other neurological (somnolence and depressed level of consciousness) or extra-neurological adverse events are uncommon and rarely severe. In conclusion, nelarabine is a well tolerated and effective salvage therapy in patients with R/R T-ALL/T-LBL and has acquired an important role as a bridge-therapy to allogeneic stem cell transplantation.",33866913,https://pubmed.ncbi.nlm.nih.gov/33866913/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,Antineoplastic Agents,"5-year overall survival rates have surpassed 90% for childhood acute lymphocytic leukaemia, but survivors are at risk for permanent health sequelae. Although event-free survival appropriately represents the outcome for cancers with poor overall survival, this metric is inadequate when cure rates are high but challenged by serious, persistent complications. Accordingly, a group of experts in paediatric haematology-oncology, representative of 17 international acute lymphocytic leukaemia study groups, launched an initiative to construct a measure, designated severe toxicity-free survival (STFS), to quantify the occurrence of physician-prioritised toxicities to be integrated with standard cancer outcome reporting. Five generic inclusion criteria (not present before cancer diagnosis, symptomatic, objectifiable, of unacceptable severity, permanent, or requiring unacceptable treatments) were used to assess 855 health conditions, which resulted in inclusion of 21 severe toxicities. Consensus definitions were reached through a modified Delphi process supplemented by two additional plenary meetings. The 21 severe toxicities include severe adverse health conditions that substantially affect activities of daily living and are refractory to therapy (eg, refractory seizures), are without therapeutic options (eg, blindness), or require substantially invasive treatment (eg, cardiac transplantation). Incorporation of STFS assessment into clinical trials has the potential to improve and diversify treatment strategies, focusing not only on traditional outcome events and overall survival but also the frequencies of the most severe toxicities. The two major aims of this Review were to: prioritise and define unacceptable long-term toxicity for patients with childhood acute lymphocytic leukaemia, and define how these toxicities should be combined into a composite quantity to be integrated with other reported outcomes. Although STFS quantifies the clinically unacceptable health tradeoff for cure using childhood acute lymphocytic leukaemia as a model disease, the prioritised severe toxicities are based on generic considerations of relevance to any other cancer diagnosis and age group.",34171282,https://pubmed.ncbi.nlm.nih.gov/34171282/
