,Disease,Year of Publication,Medication,Details,PMID,PubMed Link
0,"Carcinoma, Non-Small-Cell Lung",2016-2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors, Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors, Antineoplastic Agents",,,
0,"Carcinoma, Non-Small-Cell Lung",2016,"Antineoplastic Agents, Quinazolines, Gefitinib","Gefitinib is a selective tyrosine kinase inhibitor of the epidermal growth factor receptor (EGFR) used to treat adults with EGFR mutation-positive non-small-cell lung cancer (NSCLC). Clinical benefits of gefitinib administration in NSCLC patients have been observed in clinical practice, but the extent of the pulmonary toxicity of gefitinib in patients with advanced NSCLC remains unclear. The aim of this systematic review was to evaluate the overall incidence and risk of gefitinib-related pulmonary toxicity in advanced NSCLC patients. Relevant trials were identified from the databases of Pubmed, Embase, Cochrane Library, and the clinicaltrials.gov of the U.S. National Institutes of Health. The outcomes included the overall incidence, odds ratios (ORs), and 95% confidence intervals (CIs). Fixed-effects models were used in the statistical analyses according to the heterogeneity of the included studies. According to the data from the included trials, the overall incidence of high-grade hemoptysis, pneumonia, pneumonitis, and interstitial lung disease (ILD) was 0.49% (95% CI: 0.24%-0.99%), 2.33% (95% CI: 1.47%-3.66%), 2.24% (95% CI: 1.34%-3.72%), and 1.43% (95% CI: 0.98%-2.09%), respectively. The pooled ORs of high-grade hemoptysis, pneumonia, pneumonitis, and ILD were 1.73 (95% CI: 0.46-6.52; P = 0.42), 0.99 (95% CI: 0.66-1.49; P = 0.95), 4.70 (95% CI: 1.48-14.95; P = 0.0087), and 2.64 (95% CI: 1.22-5.69; P = 0.01), respectively. Gefitinib was associated with a significantly increased risk of high-grade/fatal ILD and pneumonitis compared with the controls, whereas the risk of other high-grade pulmonary events (pneumonia and hemoptysis) was not significant. Careful surveillance of gefitinib-related pulmonary toxicity is critical for the safe use of this drug.",26945426,https://pubmed.ncbi.nlm.nih.gov/26945426/
0,"Carcinoma, Non-Small-Cell Lung",2016,"Antineoplastic Agents, Biomarkers, Tumor, Protein Kinase Inhibitors, ALK protein, human, Anaplastic Lymphoma Kinase, Receptor Protein-Tyrosine Kinases","Lung cancer is often diagnosed by molecular markers for prediction and treatment. To date, the golden standard for detection of anaplastic lymphoma kinase (ALK) rearrangements is fluorescence in situ hybridization (FISH). We performed a pooled-data analysis on the diagnostic operating characteristics of immunohistochemistry (IHC) assay on non-small cell lung cancer (NSCLC). We searched Embase, Pubmed, and Springer databases. The results of IHC were evaluated using a modified H-score. We used a 2-level bivariate meta-analysis following a random effect model to summarize sensitivity and specificity and fit hierarchical summary receiver-operating characteristic curves. We also performed sensitivity analysis using different antibodies to investigate potential heterogeneity. Twelve studies consisting of a total of 3754 NSCLC specimens were analyzed. When we defined 1+/2+/3+, 2+/3+, and 3+ as ALK positive, we found the sensitivities to be 99% (95% confidence interval [CI], 97%-100%), 86% (95% CI, 73%-93%), and 56% (95% CI, 36%-74%) and the specificities to be 98% (95% CI, 95%-99%), 99% (95% CI, 99%-100%), and 100% (95% CI, 100%-100%), respectively. We demonstrated that when defining 3+ as positive and 0 as negative the sensitivity was 99% and specificity was 100%. In our sensitivity analysis, we found the sensitivity of D5F3 and 5A4 antibodies to be much higher than that of ALK1. We concluded that IHC scores 0 and 3+ were nearly 100% concordant with FISH-negative and FISH-positive status, respectively. However, IHC scores 1+ and 2+ might require further confirmatory testing by FISH assay. IHC assay using D5F3 and 5A4 antibodies reliably detected NSCLC with ALK rearrangement and may be useful as a screening method to identify these tumors. ",26825369,https://pubmed.ncbi.nlm.nih.gov/26825369/
0,"Carcinoma, Non-Small-Cell Lung",2016,"Antineoplastic Agents, Protein Kinase Inhibitors, Quinazolines, Afatinib, Erlotinib Hydrochloride, EGFR protein, human, ErbB Receptors, Cetuximab, Gefitinib","Erlotinib, gefitinib, and afatinib are all active agents in EGFR M+ NSCLC patients, and demonstrate an increased tumour response rate and prolonged progression-free survival compared to cytotoxic chemotherapy. We also found a beneficial effect of the TKI compared to cytotoxic chemotherapy. However, we found no increase in overall survival for the TKI when compared with standard chemotherapy. Cytotoxic chemotherapy is less effective in EGFR M+ NSCLC than erlotinib, gefitinib, or afatinib and is associated with greater toxicity. There were no data supporting the use of monoclonal antibody therapy.",27223332,https://pubmed.ncbi.nlm.nih.gov/27223332/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Protein Kinase Inhibitors, Quinazolines, Afatinib, Erlotinib Hydrochloride, EGFR protein, human, ErbB Receptors, Gefitinib","Gefitinib, erlotinib and afatinib are three widely used epidermal growth factor receptor tyrosine kinase inhibitors (EGFR TKIs) for treating advanced non-small cell lung cancer (NSCLC) with proven efficacy. We undertook a systematic review and meta-analysis to synthesize existing studies with direct comparisons of EGFR TKIs in NSCLC in terms of both efficacy and safety. Eight randomized trials and 82 cohort studies with a total of 17,621 patients were included for analysis. Gefitinib and erlotinib demonstrated comparable effects on progression-free survival (hazard ratio [HR], 1.00; 95% confidence interval [CI], 0.95 to 1.04), overall survival (HR, 0.99; 95% CI, 0.93 to 1.06), overall response rate (risk ratio [RR], 1.05; 95% CI, 1.00 to 1.11), and disease control rate (RR, 0.98; 95% CI, 0.96 to 1.01), which did not vary considerably with EGFR mutation status, ethnicity, line of treatment, and baseline brain metastasis status. Gefitinib was associated with more grade 3/4 liver dysfunction, but tended to cause lower rates of dose reduction, treatment discontinuation, total grade 3/4 adverse events (RR, 0.78; 95% CI 0.65 to 0.94), and a number of specific adverse events such as rash and diarrhea. No solid evidence was found that afatinib had greater efficacy than gefitinib or erlotinib in first-line treatment of EGFR-mutant NSCLC. However, afatinib was more effective than erlotinib as second-line treatment of patients with advanced squamous cell carcinoma. The grade 3/4 adverse events rate of afatinib was comparable to that of erlotinib but higher than that of gefitinib.",28295308,https://pubmed.ncbi.nlm.nih.gov/28295308/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, B7-H1 Antigen, CD274 protein, human, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Taxoids, Docetaxel, Nivolumab, atezolizumab, pembrolizumab, EGFR protein, human, ErbB Receptors","The PD-1/PD-L1 therapy significantly prolonged the OS and improved the ORR, simultaneously lowering the treatment-related adverse effect events versus docetaxel.",28033249,https://pubmed.ncbi.nlm.nih.gov/28033249/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antineoplastic Agents, Quinazolines, Taxoids, Docetaxel, Erlotinib Hydrochloride, EGFR protein, human, ErbB Receptors, Paclitaxel, Gefitinib","In the efficacy and safety evaluation, EGFR-TKIs had an advantage in the treatment of NSCLC, especially for patients with EGFR mutation-positive. The project was prospectively registered with PROSPERO database of systematic reviews, with number CRD42016038700.",27977598,https://pubmed.ncbi.nlm.nih.gov/27977598/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antineoplastic Agents, Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors","Randomized clinical trials (RCTs) of concurrent epidermal growth factor receptor-tyrosine kinase inhibitors (EGFR-TKIs) plus chemotherapy for unselected patients with advanced non-small-cell lung cancer (NSCLC) produced negative results. Intercalated administration could avoid the reduction of chemotherapy activity due to G<sub>1</sub> cell-cycle arrest from EGFR-TKIs. A PubMed search was performed in December 2015 and updated in February 2016. The references from the selected studies were also checked to identify additional eligible trials. Furthermore, the proceedings of the main international meetings were searched from 2010 onward. We included RCTs comparing chemotherapy intercalated with an EGFR-TKI versus chemotherapy alone for patients with advanced NSCLC. Ten RCTs were eligible (6 with erlotinib, 4 with gefitinib): 39% of patients had a known EGFR mutational status, 43% of whom EGFR mutation positive. The intercalated combination was associated with a significant improvement in overall survival (OS; hazard ratio [HR], 0.82; 95% confidence interval [CI], 0.71-0.95; P = .01), progression-free survival (PFS; HR, 0.60; 95% CI, 0.53-0.68; P < .00001), and objective response rate (ORR; odds ratio [OR], 2.70; 95% CI, 2.08-3.49; P < .00001). Considering only first-line trials, similar differences were found in OS (HR, 0.85; 95% CI, 0.72-1.00; P = .05), PFS (HR, 0.63; 95% CI, 0.55-0.73; P < .00001), and ORR (OR, 2.21; 95% CI, 1.65-2.95; P < .00001). In EGFR mutation-positive patients, the addition of an intercalated EGFR-TKI produced a significant benefit in PFS (129 patients; HR, 0.24; 95% CI, 0.16-0.37; P < .00001) and ORR (168 patients; OR, 11.59; 95% CI, 5.54-24.25; P < .00001). In patients with advanced NSCLC, chemotherapy plus intercalated EGFR-TKIs was superior to chemotherapy alone, although a definitive interpretation was jeopardized by the variable proportion of patients with EGFR mutation-positive tumors included.",27876230,https://pubmed.ncbi.nlm.nih.gov/27876230/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Nivolumab, pembrolizumab",The incidence of PD-1 inhibitor-related pneumonitis was higher in NSCLC and RCC and during combination therapy. These findings contribute to enhance awareness among clinicians and support further investigations to meet the clinical needs.,27540850,https://pubmed.ncbi.nlm.nih.gov/27540850/
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, B7-H1 Antigen, CD274 protein, human, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Taxoids, Docetaxel, Nivolumab, atezolizumab","Anti-PD-1/PD-L1 antibody therapy may significantly improve the outcomes for pretreated advanced NSCLC patients, with a better safety profile than docetaxel.",27583876,https://pubmed.ncbi.nlm.nih.gov/27583876/
