,MeSH Term,Year of Publication,Medication,Details,PMID,PubMed Link
0,Urinary Bladder Neoplasms,2018-2022,"Immune Checkpoint Inhibitors, BCG Vaccine",,,
0,Urinary Bladder Neoplasms,2018,"BCG Vaccine, Deoxycytidine, Epirubicin, Mitomycin, gemcitabine, Isoniazid","Various intravesical therapies have been introduced into clinical practices for controlling non-muscle invasive bladder cancer (NMIBC). However, evidence with respect to the efficacy and safety of those intravesical therapies is very limited. Hence, we present a network meta-analysis in order to address this limitation in the current literature. The primary outcomes were the risk of tumor recurrence (TR), tumor progression (TP) and disease-specific mortality (DM). Secondary outcomes included the risk of fever, cystitis and haematuria. Conventional pair-wise and network meta-analysis were both performed for each endpoint. The surface under the cumulative ranking curve (SUCRA) was incorporated in our analysis for ranking the corresponding intravesical instillation interventions. In total, 23 randomized clinical trials (RCTs) were finally included in our study after irrelevant papers were screened out. Results of network meta-analysis suggested that Epirubicin (EPI) was less preferable than Bacille Calmette Guerin (BCG), BCG+EPI, BCG+ Isoniazid (INH), BCG+ Mytomicin C (MMC), Gemcitabine (GEM) and MMC with respect to TR. As suggested by the corresponding ranking probabilities and SUCRA, incorporating EPI or MMC into BCG may enhance the efficacy of BCG monotherapy.",27788495,https://pubmed.ncbi.nlm.nih.gov/27788495/
0,Urinary Bladder Neoplasms,2021,"B7-H1 Antigen, Immune Checkpoint Inhibitors, Programmed Cell Death 1 Receptor","We performed a systematic review and meta-analysis on the response rates of patients with treatment-refractory urothelial carcinoma treated with programmed cell death 1 (PD-1) and programmed death ligand 1 (PD-L1) inhibitors. We reviewed the literature for prospective studies evaluating PD-1/PD-L1 inhibitors in refractory urothelial carcinoma patients, which formed the basis for US Food and Drug Administration approval of 5 different antagonistic antibodies targeting PD-1 or PD-L1 (atezolizumab, durvalumab, avelumab, nivolumab, and pembrolizumab). We considered studies examining PD-1/PD-L1-treated patients, which we identified using the following key terms in the Pubmed, Scopus, Web of Science, ClinicalTrial.gov, and Cochrane Library databases. Eligible studies had ≥ 20 patients each and reported response rates, duration of response, and overall survival (OS). We performed fixed and random-effects meta-analyses to model the point estimates for objective response rate and complete response. The median progression-free survival (PFS) and OS for studies reporting these statistics were evaluated. We found 10 eligible studies that met our inclusion criteria, providing extractable numerators and denominators for response rates, PFS, and OS for 1934 patients with metastatic urothelial carcinoma. The objective response rate was 18% (95% confidence interval, 15-22) for second-line or later therapies. The random-effects estimate for complete response was 4% (95% confidence interval, 3-5), including all disease locations and all PD-1 and PD-L1 inhibitors. Median OS and PFS were < 13 months and 3 months, respectively, across all studies, irrespective of PD-L1 expression. We found that the estimated response rates of agents included in this meta-analysis seem to be more favorable than other salvage therapies.",32146152,https://pubmed.ncbi.nlm.nih.gov/32146152/
0,Urinary Bladder Neoplasms,2022,Immune Checkpoint Inhibitors,"<b>Aims:</b> Immune checkpoint inhibitors (ICIs) have recently revolutionized the treatment landscape of metastatic urothelial carcinoma. The authors performed a meta-analysis aiming to evaluate the predictive value of Eastern Cooperative Oncology Group performance status, age, sex, liver metastasis and histology in trials comparing first-line ICI-based combinations with chemotherapy in metastatic urothelial carcinoma patients. <b>Methods:</b> Hazard ratios were analyzed. <b>Results:</b> ICI-based combinations significantly decreased the risk of death in several clinicopathological subgroups, including patients with no liver metastases (hazard ratio: 0.84; 95% CI: 0.74-0.95) and those with an Eastern Cooperative Oncology Group performance status of 0 (hazard ratio: 0.84; 95% CI: 0.72-0.97). <b>Conclusion:</b> The benefit of ICI-based combinations over chemotherapy in metastatic urothelial carcinoma was consistent across several clinicopathological subgroups, although a proportion of patients responded to chemotherapy alone.",35048736,https://pubmed.ncbi.nlm.nih.gov/35048736/
0,Urinary Bladder Neoplasms,2022,"Biomarkers, Tumor, Immune Checkpoint Inhibitors","Muscle invasive bladder cancer (MIBC) is a widespread malignancy with a worse prognosis often related to a late diagnosis. For early-stage MIBC pts, a multidisciplinary approach is mandatory to evaluate the timing of neoadjuvant chemotherapy (NAC) and surgery. The current standard therapy is platinum-based NAC (MVAC-methotrexate, vinblastine, doxorubicin, and cisplatin or Platinum-Gemcitabine regimens) followed by radical cystectomy (RC) with lymphadenectomy. However, preliminary data from Vesper trial highlighted that dose-dense NAC MVAC is endowed with a good pathological response but shows low tolerability. In the last few years, translational-based research approaches have identified several candidate biomarkers of NAC esponsiveness, such as ERCC2, ERBB2, or DNA damage response (DDR) gene alterations. Moreover, the recent consensus MIBC molecular classification identified six molecular subtypes, characterized by different sensitivity to chemo- or targeted or immunotherapy, that could open a novel procedure for patient selection and also for neoadjuvant therapies. The Italian PURE-01 phase II Trial extended data on efficacy and resistance to Immune Checkpoint Inhibitors (ICIs) in this setting. In this review, we summarize the most relevant literature data supporting NAC use in MIBC, focusing on novel therapeutic strategies such as immunotherapy, considering the better patient stratification and selection emerging from novel molecular classification.",35163064,https://pubmed.ncbi.nlm.nih.gov/35163064/
0,Urinary Bladder Neoplasms,2022,Immune Checkpoint Inhibitors,"Upper tract urothelial carcinoma (UTUC) is a rare and challenging-to-treat malignancy. In most patients it is a sporadic tumor entity, less commonly it falls on the spectrum of Lynch syndrome, an autosomal dominant familial tumor syndrome. Localized UTUC with high-risk features as well as the metastatic disease scenario might require systemic therapy. Platinum-based combination chemotherapy is currently the recommended management option. However, the introduction of immune checkpoint inhibitors into the therapeutic armamentarium has led to a paradigm shift in treatment standards. Immunotherapy has been shown to be safe and effective in treating at least metastatic UTUC, although UTUC-specific high-level evidence is still lacking. Recent technological advances and noteworthy research efforts have greatly improved the general understanding of the biological landscape of UTUC. According to the main findings, UTUC represent a particular subtype of urothelial carcinoma frequently associated with activated FGFR3 signaling, a luminal-papillary phenotype and a T-cell-depleted microenvironment. This improved knowledge promises precision oncology approaches that match treatment decision strategies and genomic profile to ultimately result in better clinical outcomes. The aim of this review was to summarize the main currently available evidence on immune checkpoint inhibition and clinical genomics in UTUC.",35200559,https://pubmed.ncbi.nlm.nih.gov/35200559/
0,Urinary Bladder Neoplasms,2022,Immune Checkpoint Inhibitors,"Therapies based on the use of immune checkpoint inhibitors (ICIs), such as nivolumab, pembrolizumab, ipilimumab, atezolizumab, avelumab, and durvalumab, have proven effective in the treatment of metastatic urological neoplasms. Recently, it has been hypothesized that the use of this type of treatment prior to surgery could lead to an increased difficulty in renal and bladder surgeries. The literature concerning this topic, however, is still scarce and non-consensual. In our systematic review, we used the PRISMA guidelines methodology to search the pertinent literature available up to June 18, 2020 in PubMed. Additionally, we searched the related grey literature in the abstracts of the meetings of the American Society of Clinical Oncology (ASCO), American Society of Clinical Oncology Genitourinary (ASCO-GU), European Society of Medical Oncology (ESMO), and American Urological Association (AUA) from 2015 to 2020. We were able to find only 16 publications that addressed the use of ICIs prior to surgery in kidney and bladder neoplasms. The results were conflicting, and usually the issue of surgical difficulties after the use of ICIs was not directly approached. We hope that our publication may raise the awareness towards the need to further investigate the effects of neoadjuvant ICIs on surgical outcomes in urologic cancers.",34312011,https://pubmed.ncbi.nlm.nih.gov/34312011/
0,Urinary Bladder Neoplasms,2022,"Antibodies, Monoclonal, Humanized, Immune Checkpoint Inhibitors, avelumab","Immune checkpoint inhibitor treatment in metastatic UC holds much promise, but has not been optimized. First-line maintenance avelumab is an attractive option for these patients. Future research will significantly change the landscape of treatment in the near future.",35015593,https://pubmed.ncbi.nlm.nih.gov/35015593/
0,Urinary Bladder Neoplasms,2022,BCG Vaccine,"In the past decades, the bacillus Calmette-Guerin (BCG) treatment for non-muscle invasive bladder cancer, especially for intermediate and high-risk groups, is increasingly accepted by multiple guidelines. Currently, the front-line setting for the high-risk group is still intravesical BCG instillation. However, the BCG mechanism, usage, adverse events, and the definition of BCG failure are not yet fully understood or defined. In addition, despite BCG being generally efficacious, a number of bladder cancer patients are unresponsive to the BCG immunotherapy. In this review, we summarize the history and current status of BCG immunotherapy, and highlight recent developments in designing novel strategies for the treatment of BCG-unresponsive patients.",36274226,https://pubmed.ncbi.nlm.nih.gov/36274226/
0,Urinary Bladder Neoplasms,2022,Immune Checkpoint Inhibitors,"Due to the approval of immuno-oncological therapies with immune checkpoint inhibitors, the treatment of metastatic urothelial carcinoma has become more complex in all lines of therapy. Thus, in first-line treatment, immunotherapy alone or immune maintenance therapy following platinum-based chemotherapy can be applied in addition to treatment with platinum-based combination therapies alone. In addition to the approval status and guideline recommendation, patient-specific factors such as comorbidities as well as patient preference must always be considered when choosing a therapy. In the following, we summarize the current data on treatment options in the first-line therapy of metastatic urothelial carcinoma and illustrate their practical application using a patient example.",35089362,https://pubmed.ncbi.nlm.nih.gov/35089362/
0,Urinary Bladder Neoplasms,2022,BCG Vaccine,"BCG mycotic aneurysm is an extremely serious condition, the diagnosis of which must be considered at an early stage in order to adapt diagnostic and therapeutic strategies.",35691669,https://pubmed.ncbi.nlm.nih.gov/35691669/
