,MeSH Term,Year of Publication,Medication,Details,PMID,PubMed Link
0,"Carcinoma, Hepatocellular",2017-2022,"Immune Checkpoint Inhibitors, Sorafenib, Antiviral Agents",,,
0,"Carcinoma, Hepatocellular",2017,"Antineoplastic Agents, Phenylurea Compounds, Protein Kinase Inhibitors, Niacinamide, Sorafenib","​Introduction: Clinical markers to predict the benefit from sorafenib in patients diagnosed with hepatocellular carcinoma (HCC) are lacking. A meta-analysis exploring the impact of development of sorafenib-related side effects on survival was conducted. Areas covered: Eligible studies included all clinical studies reporting on the survival/toxicity relationship in sorafenib-treated HCC patients. Data sources included Pub-Med, the Cochrane Controlled Trials Register, and Google scholar. After exclusion of ineligible studies, 16 studies were included in the analysis. Pooled hazard ratio (HR) for overall survival (OS) for patients developing diarrhoea vs. patients who did not was 0.42 (95% confidence interval (CI): 0.30-0.60; p < 0.00001); pooled HR for patients developing hypertension vs. those who did not was 0.46 (95% CI: 0.30-0.70; p = 0.0003); pooled HR for patients developing hand foot skin reaction vs. those who did not was 0.47 (95% CI: 0.35-0.62; p < 0.00001); pooled HR for OS for all types of skin toxicities was 0.51 (95% CI: 0.36-0.72; p = 0.0002); while pooled HR for OS for a combination of selected side effects (hypertension, HFS and diarrhoea) was 0.38 (95% CI: 0.30-0.48; p < 0.00001). No information was available regarding the impact of thyroid dysfunction or proteinuria. Expert commentary: This analysis of data demonstrated that the occurrence of sorafenib-related side effects (such as diarrhoea, hypertension and skin toxicities) is associated with a better OS in sorafenib-treated HCC patients.",27882800,https://pubmed.ncbi.nlm.nih.gov/27882800/
0,"Carcinoma, Hepatocellular",2017,"Antiviral Agents, Organophosphonates, Telbivudine, Lamivudine, Arabinofuranosyluracil, entecavir, Guanine, adefovir, Tenofovir, clevudine, Adenine, Thymidine","<i>Aim</i>. To determine whether nucleot(s)ide analogs therapy has survival benefit for patients with HBV-related HCC after unresectable treatment. <i>Method</i>. A systematic search was conducted through seven electronic databases including PubMed, OVID, EMBASE, Cochrane Databases, Elsevier, Wiley Online Library, and BMJ Best Practice. All studies comparing NA combined with unresectable treatment versus unresectable treatment alone were considered for inclusion. The primary outcome was the overall survival (OS) after unresectable treatment for patients with HBV-related HCC. The secondary outcome was the progression-free survival (PFS). Results were expressed as hazard ratio (HR) for survival with 95% confidence intervals. <i>Results</i>. We included six studies with 994 patients: 409 patients in nucleot(s)ide analogs therapy group and 585 patients without antiviral therapy in control group. There were significant improvements for the overall survival (HR = 0.57; 95% CI = 0.47-0.70; <i>p</i> < 0.001) and progression-free survival (HR = 0.84; 95% CI = 0.71-0.99; <i>p</i> = 0.034) in the NA-treated group compared with the control group. Funnel plot showed that there was no significant publication bias in these studies. When it comes to antiviral drugs and operation method, it also showed benefit in NA-treated group. At the same time, overall mortality as well as mortality secondary to liver failure in NA-treated group was obviously lesser. Sensitivity analyses confirmed the robustness of the results. <i>Conclusions</i>. Nucleot(s)ide analogs therapy after unresectable treatment has potential beneficial effects in terms of overall survival and progression-free survival. NA therapy should be considered in clinical practice.",28396612,https://pubmed.ncbi.nlm.nih.gov/28396612/
0,"Carcinoma, Hepatocellular",2017,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Phenylurea Compounds, Niacinamide, Sorafenib, ramucirumab, Erlotinib Hydrochloride","This network meta-analysis shows that ramucirumab and sorafenib+erlotinib may be the better targeted drugs for AHCC patients, and sorafenib+erlotinib achieved a better long-term efficacy.",27930578,https://pubmed.ncbi.nlm.nih.gov/27930578/
0,"Carcinoma, Hepatocellular",2018,"Antineoplastic Agents, Phenylurea Compounds, Niacinamide, Sorafenib","The results indicate that HFSR is a beneficial indicator for HCC patients receiving sorafenib therapy. However, molecular mechanisms accounting for sorafenib-induced HFSR in HCC patients remain.",28847184,https://pubmed.ncbi.nlm.nih.gov/28847184/
0,"Carcinoma, Hepatocellular",2018,"Phenylurea Compounds, Niacinamide, Sorafenib","TACE-S may improve OS, ORR, TTP and DCR for HCC patients with PVTT compared to TACE.",28177886,https://pubmed.ncbi.nlm.nih.gov/28177886/
0,"Carcinoma, Hepatocellular",2021,"Antineoplastic Agents, Phenylurea Compounds, Niacinamide, Sorafenib","This meta-analysis demonstrated that adjuvant sorafenib therapy after resection in patients with hepatocellular carcinoma could prolong overall survival and recurrence-free survival and reduce recurrence rates without intolerable side effects. However, more evidence is needed before reaching a definitive conclusion.",34112190,https://pubmed.ncbi.nlm.nih.gov/34112190/
0,"Carcinoma, Hepatocellular",2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors, Antineoplastic Agents, Immunological, Sorafenib, Biomarkers, Tumor","Immune checkpoint inhibitors' combination therapy improved clinical outcomes in the management of advanced hepatocellular carcinoma. However, the overall objective response rate still did not exceed 30%. PD-1/PD-L1 inhibitors plus anti-angiogenic agents and dual immunotherapy provided significantly increased survival over sorafenib, which also pose new challenges for future research, and more appropriate and guided control regimens are required. Also, TMB may be a promising prognostic biomarker for immunotherapy in HCC. However, the validation of prospective and large sample studies is needed.",36126410,https://pubmed.ncbi.nlm.nih.gov/36126410/
0,"Carcinoma, Hepatocellular",2022,"Immune Checkpoint Inhibitors, Sorafenib","The systemic treatment of advanced hepatocellular carcinoma (HCC) has significantly evolved. Immune checkpoint inhibitors (ICIs) have demonstrated clinical efficacy and more favorable toxicity profiles compared to multikinase inhibitors. Combination therapy with ICIs may provide greater anti-tumor activity compared to ICI monotherapy. This review will discuss the current treatment landscape of advanced HCC, with a focus on recently completed and ongoing trials of ICI combinations, as well as future directions.  RECENT FINDINGS: Atezolizumab/bevacizumab has been approved as first-line therapy in patients with advanced HCC based on its superiority over sorafenib in the pivotal IMbrave150 trial. Similarly, durvalumab/tremelimumab demonstrated an improvement in overall survival compared to sorafenib in the HIMALAYA trial. Other combinations of ICIs with targeted agents and dual immune checkpoint blockade are currently being investigated in large randomized Phase 3 trials for the first-line treatment of HCC. Results of several ICI combination trials have been reported or are anticipated in the next few years and may potentially expand the therapy options in this patient population. Further areas of exploration include the use of ICIs in earlier stages of disease, other immunotherapy approaches such as adoptive T cell therapy, and the identification of predictive biomarkers. These ongoing efforts will likely further improve patient outcomes in the future.",35347594,https://pubmed.ncbi.nlm.nih.gov/35347594/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,The literature demonstrated the feasibility of conversion surgery after systemic therapy. Further clinical investigation of surgery after systemic therapy for advanced HCC may be undertaken by clearly distinguishing the tumor status as technically unresectable or oncologically unresectable but technically resectable.,35306748,https://pubmed.ncbi.nlm.nih.gov/35306748/
0,"Carcinoma, Hepatocellular",2022,Antiviral Agents,"HCV hijacks many host metabolic processes in an effort to aid viral replication. The resulting hepatic metabolic dysfunction underpins many of the hepatic and extrahepatic manifestations of chronic hepatitis C (CHC). However, the natural history of CHC is also substantially influenced by the host metabolic status: obesity, insulin resistance and hepatic steatosis are major determinants of CHC progression toward hepatocellular carcinoma (HCC). Direct-acting antivirals (DAAs) have transformed the treatment and natural history of CHC. While DAA therapy effectively eradicates the virus, the long-lasting overlapping metabolic disease can persist, especially in the presence of obesity, increasing the risk of liver disease progression. This review covers the mechanisms by which HCV tunes hepatic and systemic metabolism, highlighting how systemic metabolic disturbance, lipotoxicity and chronic inflammation favour disease progression and a precancerous niche. We also highlight the therapeutic implications of sustained metabolic dysfunction following sustained virologic response as well as considerations for patients who develop HCC on the background of metabolic dysfunction.",35157957,https://pubmed.ncbi.nlm.nih.gov/35157957/
0,"Carcinoma, Hepatocellular",2022,"Antineoplastic Agents, Drugs, Investigational, Sorafenib","Combination atezolizumab and bevacizumab has changed the landscape of systemic treatment for patients with HCC when it became the first therapy after demonstrating improve outcomes over sorafenib. Clinical trials in patients with advanced HCC have inherent difficulty with challenges to determine if a patient's declining liver function is secondary to disease progression, worsening cirrhosis, or drug toxicity, which may skew results. As we gain more knowledge of underlying genetic alterations behind the pathophysiology of the development of HCC, molecular markers may be identified to assist in predicting which patients would respond to a specific therapy.",35580650,https://pubmed.ncbi.nlm.nih.gov/35580650/
