,MeSH Term,Year of Publication,Medication,Details,PMID,PubMed Link
0,Melanoma,2016-2022,"Nivolumab, Proto-Oncogene Proteins B-raf, Protein Kinase Inhibitors, Antineoplastic Agents, Immune Checkpoint Inhibitors",,,
0,Melanoma,2016,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, B7-H1 Antigen, CD274 protein, human, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Nivolumab, pidilizumab, pembrolizumab","The purpose of this study was to investigate the efficacy and safety of programmed cell death 1 (PD-1) and programmed cell death 1 ligand (PD-L1) inhibitors using a meta-analysis of present trials for advanced melanoma. A fully recursive literature search of the primary electronic databases for available trials was performed. The objective response rate (ORR) and the median progression-free survival (PFS) of clinical responses were considered the main endpoints to evaluate the efficacy, whereas Grade 3-4 adverse effects (AEs) were analyzed to evaluate safety. The ORR of PD-1 and PD-L1 inhibitors was 30% (95% CI: 25-35%). No significant difference in the ORR was observed after the comparisons of low-dose, median-dose, and high-dose cohorts. In addition, the rate of Grade 3-4 AEs was 9% (95% CI: 6-12%). According to the 3 randomized controlled trials that compared PD-1 inhibitors with chemotherapy, the difference between these 2 groups was found to be statistically significant with respect to the ORR, PFS and the incidence of Grade 3-4 AEs; that is, the relative risk (RR) of the ORR was 3.42 (95% CI: 2.49-4.69, P < 0.001), the hazard ratio (HR) of the PFS was 0.50 (95% CI: 0.44-0.58, P < 0.001), and the RR of Grade 3-4 AEs was 0.45 (95% CI: 0.31-0.65, P < 0.001). According to a meta-analysis of limited concurrent studies, PD-1 and PD-L1 inhibitors appear to be associated with improved response rates, superior response durability and tolerable toxicity in patients with advanced melanoma.",26986169,https://pubmed.ncbi.nlm.nih.gov/26986169/
0,Melanoma,2017,"Antibodies, Monoclonal, Antineoplastic Agents, CTLA-4 Antigen, Programmed Cell Death 1 Receptor","Anti-cytotoxic T lymphocyte-associated antigen-4 (CTLA-4) and anti-programmed cell death-1 (PD-1) inhibitors have been shown to significantly improve survival in patients with metastatic cutaneous melanoma. However, there was some heterogeneity as well as some variation in the degree of benefit across studies. We reviewed randomized trials and performed a meta-analysis to determine the efficacy and safety of immune checkpoint inhibitors in comparison with conventional regimens. Eligible studies were limited to randomized controlled trials comparing anti-CTLA-4 or anti-PD-1 inhibitors to chemotherapy or vaccination treatment in adult patients with unresectable cutaneous metastatic melanoma. Progression-free survival (PFS) rate at 6 months was 28.5% versus 17.7% (RR: 0.84, 95% CI: 0.76-0.93), overall survival (OS) rate at 1 year was 51.2% versus 38.8% (RR: 0.72, 95% CI: 0.59-0.88), and overall response rate (ORR) at 6 months was 29.6% versus 17.7% (RR: 0.85, 95% CI: 0.76-0.95) favoring immune check point inhibitors over chemotherapies or vaccination. Immune check point inhibitors were associated with more frequent immune-related adverse events at 13.7% versus 2.4% of treated patients (RR: 6.74, 95% CI: 4.65-9.75). Subgroup analyses demonstrated significant PFS (RR: 0.92 vs. 0.74, P < 0.00001) and ORR (RR: 0.95 vs. 0.76, P = 0.0004) improvement with anti-PD-1 treatment compared to anti-CTLA-4 when each of them was compared to control treatments. Collectively, these results demonstrate that immune checkpoint inhibitors have superior outcomes compared to conventional chemotherapies or vaccination, and support the results of recent randomized trials that showed superior outcomes with anti-PD-1 agents over ipilimumab in unresectable metastatic cutaneous melanoma patients.",27167347,https://pubmed.ncbi.nlm.nih.gov/27167347/
0,Melanoma,2017,"Antibodies, Monoclonal, Antineoplastic Agents, CTLA-4 Antigen, CTLA4 protein, human, PDCD1 protein, human, Programmed Cell Death 1 Receptor, BRAF protein, human, Proto-Oncogene Proteins B-raf, MAP Kinase Kinase Kinases","The simultaneous inhibition of BRAF and MEK appears the most effective treatment for melanomas harboring BRAF V600 mutation, although anti-PD1 antibodies appear to be less toxic. Further research is needed to increase the quality of evidence.",28189914,https://pubmed.ncbi.nlm.nih.gov/28189914/
0,Melanoma,2017,"CTLA-4 Antigen, CTLA4 protein, human, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Protein Kinase Inhibitors, BRAF protein, human, Proto-Oncogene Proteins B-raf, Mitogen-Activated Protein Kinase Kinases","Compared with other treatments, BRAF/MEK and PD-1 inhibition significantly improved OS. The favorable safety profile of PD-1 inhibitors supports using this option as first-line therapy in circumstances where rapid response is not a priority.",27787543,https://pubmed.ncbi.nlm.nih.gov/27787543/
0,Melanoma,2017,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, PDCD1 protein, human, Programmed Cell Death 1 Receptor, Nivolumab, pembrolizumab","Antibodies targeting programmed death 1 (PD-1) help prevent tumor cells from escaping immune-mediated destruction. We conducted this systematic review and meta-analysis to gain insight into the efficacy of PD-1 antibodies for the treatment of melanoma. Five trials involving 2,828 adult patients were included in this meta-analysis. In patients with previously untreated or refractory melanoma, treatment with PD-1 antibodies significantly improved the six-month progression-free survival (PFS) (HR 0.55, 95% CI 0.50-0.60, P<0.00001) and the overall response rate (OR 3.89, 95% CI 3.12-4.83, P<0.00001). This meta-analysis indicated that anti-PD-1 treatment might provide a significant survival benefit in patients with melanoma. In addition, we found that patients treated with nivolumab reported significantly fewer treatment-related adverse events (OR 0.74, 95% CI 0.57-0.97, P = 0.03) than those treated with other agents, but there was a dose-dependent increase in the frequency of adverse events in patients treated with pembrolizumab. ",27483468,https://pubmed.ncbi.nlm.nih.gov/27483468/
0,Melanoma,2018,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Immunological, Ipilimumab, Nivolumab, pembrolizumab, tremelimumab","We conducted a network meta-analysis in order to compare different strategies for managing melanoma patients. Electronic databases were searched for eligible randomized trials that compared different strategies in efficacy and tolerability. Five interventions were associated with a significant improvement in PFS over chemotherapy (all HR < 1): Ipilimumab, Tremelimumab, Nivolumab, Pembrolizumab 2 mg/kg and Ipilimumab + Nivolumab. Three interventions exhibited significantly improved OS results over chemotherapy (all HR < 1): Ipilimumab, Nivolumab and Ipilimumab + Chemotherapy. Four interventions were superior to chemotherapy in CR and PR (all OR > 1): Nivolumab, Pembrolizumab 10 mg/kg, Pembrolizumab 2 mg/kg and Ipilimumab + Nivolumab. However, the other seven interventions were associated with an increased risk of pruritus compared to chemotherapy (all OR > 1). Ipilimumab, Tremelimumab, Ipilimumab + Nivolumab and Ipilimumab + Chemotherapy might result in a higher risk of diarrhea compared to chemotherapy (all OR > 1). Immune checkpoint therapy or combined interventions might be more effective than chemotherapy for managing melanoma patients. However, chemotherapy appears to be more tolerable than these combined strategies with respect to adverse events.",27764796,https://pubmed.ncbi.nlm.nih.gov/27764796/
0,Melanoma,2018,"MAS1 protein, human, Protein Kinase Inhibitors, Proto-Oncogene Mas, Proto-Oncogene Proteins B-raf, MAP Kinase Kinase Kinases","Combination therapy with BRAF inhibitors and MEK inhibitors significantly improved OS, PFS, and ORR in patients with advanced melanoma with BRAF mutation.",28504036,https://pubmed.ncbi.nlm.nih.gov/28504036/
0,Melanoma,2018,"Antibodies, Monoclonal, Antineoplastic Agents, Ipilimumab, Nivolumab, Dacarbazine",None of the drugs investigated can be considered cost-effective at what has normally been considered a reasonable willingness-to-pay (WTP) in Norway. Price reductions (from the official list prices) in the region of 63%-84% would be necessary for these drugs to be cost-effective at a WTP of €55 850 per QALY.,28827234,https://pubmed.ncbi.nlm.nih.gov/28827234/
0,Melanoma,2018,"Protein Kinase Inhibitors, Proto-Oncogene Proteins B-raf, Mitogen-Activated Protein Kinase Kinases","Recent clinical studies have shown that combination therapy of BRAF and MEK inhibition provides more survival benefit than BRAF inhibition monotherapy. However, the adverse events due to BRAF and MEK inhibitors impact the physical comfort and social life of patients. Thus, in this study we have undertaken a meta-analysis of randomized controlled trials to compare the efficacy and adverse events risk between monotherapy and combination therapy. We identified the relevant studies by searching PubMed, EMBASE and Google scholar databases, between the year January 2000 and May 2016. Based on the heterogeneity, the fixed- or random-effects models were employed to analyze the efficacy and the incidence rate of adverse events. In addition, the subgroup analyses were conducted to overcome the effects of heterogeneity. Finally, our study included five RCTs, involving 1730 patients for this meta-analysis. The fixed-effects model demonstrated that combination therapy of BRAF and MEK inhibition provided more survival benefit in terms of ORR, PFS and OS (P < 0.00001). But, the combination therapy also significantly increased the incidences of pyrexia, chills, vomiting, chorioretinopathy, retinal detachment, hypertension, night sweats, increased aspartate aminotransferase and creatine kinase levels (P < 0.05) as compared to monotherapy. But, based on the significantly better survival outcomes, the combined BRAF and MEK inhibition will obviously be the mainstay therapy for the BRAF V600-mutant melanoma. However, a set of adverse events should be paid attention when physicians consider combination therapy.",28416755,https://pubmed.ncbi.nlm.nih.gov/28416755/
0,Melanoma,2018,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Immunological, Ipilimumab, Nivolumab, pembrolizumab","We recommend pembrolizumab as the preferred treatment due to its high efficacy and low adverse effects, combination of ipilimumab and nivolumab could be used in severe symptoms.",27845904,https://pubmed.ncbi.nlm.nih.gov/27845904/
0,Melanoma,2019,"Antineoplastic Agents, Vemurafenib","The most frequent dermatological toxicities associated with vemurafenib treatment in patients with melanoma were cSCC, rash, PR and KA. These data may be useful for estimation of the efficacy and safety of the drug during clinical treatment and for reducing the prevalence of adverse reactions to vemurafenib treatment in patients with melanoma.",30280426,https://pubmed.ncbi.nlm.nih.gov/30280426/
0,Melanoma,2020,"Protein Kinase Inhibitors, BRAF protein, human, Proto-Oncogene Proteins B-raf, MAP Kinase Kinase Kinases","Doublet BRAF and MEK inhibition achieved better survival outcomes over single-agent BRAF inhibition and occurred less skin-related events, but gastrointestinal events were more in combination therapy.",31393083,https://pubmed.ncbi.nlm.nih.gov/31393083/
0,Melanoma,2021,"Antineoplastic Agents, Immunological, Ipilimumab, Nivolumab","This study aimed to analyze the efficacy of the monoclonal antibodies ipilimumab, nivolumab, and pembrolizumab when compared with conventional chemotherapy in the treatment of advanced melanoma. Three authors made the search independently and five articles matched the eligibility criteria. A fourth expert confirmed their quality (κ = 1). The meta-analysis for overall survival and 12-month overall survival was impaired due to remarkably high heterogeneity (I2 = 91 % and 86 %, respectively). However, chemotherapy showed benefits on 24-months overall survival (RR = 1.60; IC95 %: 1.29, 1.98; p < 0.0001). The interruption by toxicity outcome showed no significant differences between therapies. Some studies used monoclonal antibodies in monotherapy or in combination and some groups of participants showed heterogeneity, which made the analysis difficult. Given the exorbitant costs of monoclonal antibodies in low and middle-income countries, the evidence of its benefits is limited when considering the replacement of conventional therapy with immunotherapy in public health systems.",33775823,https://pubmed.ncbi.nlm.nih.gov/33775823/
0,Melanoma,2021,"Imidazoles, Oximes, Pyridones, Pyrimidinones, trametinib, BRAF protein, human, Proto-Oncogene Proteins B-raf, dabrafenib","The current systematic review aimed to evaluate and compare the efficacy and safety of dabrafenib-trametinib with those of other therapeutic alternatives in the treatment of patients with unresectable advanced/metastatic melanoma with BRAF-V600 mutation. The search was carried out on four databases up to July 2018. Two separate network meta-analyses (NMA) were performed using the frequentist method (random effects): one with an exclusive population with BRAF-V600 mutation (NMA-pBRAFV600) and another with mixed population (with or without the mutation: NMA-pMixed). An evidence profile was included using the GRADE method for NMA. The validity of the final estimator in the NMA-pMixed was assessed via a sensitivity analysis. Nine clinical trials were included in the NMA-pBRAFV600. Dabrafenib-trametinib was found to have a favorable effect on overall survival (OS) and progression-free survival (PFS) compared with dabrafenib, vemurafenib, and dacarbazine and on partial response rate (PRR) and overall response rate compared with dacarbazine and vemurafenib. In the NMA-pMixed, dabrafenib-trametinib was found to have a positive effect on OS versus ipilimumab 3 mg/kg and on PFS and PRR versus ipilimumab, nivolumab, and pembrolizumab. However, dabrafenib-trametinib and vemurafenib-cobimetinib significantly differed in terms of efficacy. In addition, dabrafenib-trametinib has a favorable effect on Grades 3 and 4 adverse events.",31664762,https://pubmed.ncbi.nlm.nih.gov/31664762/
0,Melanoma,2022,"Immune Checkpoint Inhibitors, Ipilimumab","Ten years since the immune checkpoint inhibitor ipilimumab was approved for advanced melanoma, it is time to reflect on the lessons learned regarding modulation of the immune system to treat cancer and on novel approaches to further extend the efficacy of current and emerging immunotherapies. Here, we review the studies that led to our current understanding of the melanoma immune microenvironment in humans and the mechanistic work supporting these observations. We discuss how this information is guiding more precise analyses of the mechanisms of action of immune checkpoint blockade and novel immunotherapeutic approaches. Lastly, we review emerging evidence supporting the negative impact of melanoma metabolic adaptation on anti-tumor immunity and discuss how to counteract such mechanisms for more successful use of immunotherapy.",35241833,https://pubmed.ncbi.nlm.nih.gov/35241833/
0,Melanoma,2022,"Protein Kinase Inhibitors, Proto-Oncogene Proteins B-raf, Mitogen-Activated Protein Kinase Kinases",The historically poor outcomes for MBM patients have been transformed with the advent of effective systemic therapies including ICIs and BRAF/MEK inhibitors. An improved understanding of the molecular and immunogenomic characterization of MBMs has provided new targets that are being exploited in the clinic.,35818856,https://pubmed.ncbi.nlm.nih.gov/35818856/
0,Melanoma,2022,Immune Checkpoint Inhibitors,"This review describes the current body of literature and ongoing clinical trials examining neoadjuvant immune checkpoint inhibitors (ICI) for patients with resectable stage III and IV melanoma. Based on prior success in treating metastatic melanoma and as adjuvant therapy, ICIs are being explored in the neoadjuvant setting. There have been initial trials and there are many ongoing trials examining neoadjuvant ICI. Herein, we will review the clinical feasibility and efficacy of various neoadjuvant ICI regimens, explore pathologic and cellular responses, and present factors associated with predictive tumor response.",34254900,https://pubmed.ncbi.nlm.nih.gov/34254900/
